"year","month","zoneid","zone.name","borough","tnc.month"
2015,9,"ID113","Greenwich Village North","Manhattan",64
2015,10,"ID113","Greenwich Village North","Manhattan",77
2015,11,"ID113","Greenwich Village North","Manhattan",74
2015,12,"ID113","Greenwich Village North","Manhattan",76
2016,1,"ID113","Greenwich Village North","Manhattan",68
2016,2,"ID113","Greenwich Village North","Manhattan",83
2016,3,"ID113","Greenwich Village North","Manhattan",80
2016,4,"ID113","Greenwich Village North","Manhattan",83
2016,5,"ID113","Greenwich Village North","Manhattan",83
2016,6,"ID113","Greenwich Village North","Manhattan",75
2016,7,"ID113","Greenwich Village North","Manhattan",81
2016,8,"ID113","Greenwich Village North","Manhattan",81
2016,9,"ID113","Greenwich Village North","Manhattan",93
2016,10,"ID113","Greenwich Village North","Manhattan",102
2016,11,"ID113","Greenwich Village North","Manhattan",97
2016,12,"ID113","Greenwich Village North","Manhattan",108
2017,1,"ID113","Greenwich Village North","Manhattan",105
2017,2,"ID113","Greenwich Village North","Manhattan",106
2017,3,"ID113","Greenwich Village North","Manhattan",116
2017,4,"ID113","Greenwich Village North","Manhattan",107
2017,5,"ID113","Greenwich Village North","Manhattan",112
2017,6,"ID113","Greenwich Village North","Manhattan",104
2015,1,"ID114","Greenwich Village South","Manhattan",30
2015,2,"ID114","Greenwich Village South","Manhattan",35
2015,3,"ID114","Greenwich Village South","Manhattan",34
2015,4,"ID114","Greenwich Village South","Manhattan",34
2015,5,"ID114","Greenwich Village South","Manhattan",39
2015,6,"ID114","Greenwich Village South","Manhattan",38
2015,7,"ID114","Greenwich Village South","Manhattan",44
2015,8,"ID114","Greenwich Village South","Manhattan",46
2015,9,"ID114","Greenwich Village South","Manhattan",57
2015,10,"ID114","Greenwich Village South","Manhattan",68
2015,11,"ID114","Greenwich Village South","Manhattan",64
2015,12,"ID114","Greenwich Village South","Manhattan",67
2016,1,"ID114","Greenwich Village South","Manhattan",62
2016,2,"ID114","Greenwich Village South","Manhattan",73
2016,3,"ID114","Greenwich Village South","Manhattan",70
2016,4,"ID114","Greenwich Village South","Manhattan",75
2016,5,"ID114","Greenwich Village South","Manhattan",75
2016,6,"ID114","Greenwich Village South","Manhattan",68
2016,7,"ID114","Greenwich Village South","Manhattan",75
2016,8,"ID114","Greenwich Village South","Manhattan",74
2016,9,"ID114","Greenwich Village South","Manhattan",88
2016,10,"ID114","Greenwich Village South","Manhattan",96
2016,11,"ID114","Greenwich Village South","Manhattan",89
2016,12,"ID114","Greenwich Village South","Manhattan",102
2017,1,"ID114","Greenwich Village South","Manhattan",98
2017,2,"ID114","Greenwich Village South","Manhattan",103
2017,3,"ID114","Greenwich Village South","Manhattan",113
2017,4,"ID114","Greenwich Village South","Manhattan",105
2017,5,"ID114","Greenwich Village South","Manhattan",106
2017,6,"ID114","Greenwich Village South","Manhattan",107
2015,1,"ID115","Grymes Hill/Clifton","Staten Island",0
2015,2,"ID115","Grymes Hill/Clifton","Staten Island",0
2015,3,"ID115","Grymes Hill/Clifton","Staten Island",0
2015,4,"ID115","Grymes Hill/Clifton","Staten Island",0
2015,5,"ID115","Grymes Hill/Clifton","Staten Island",0
2015,6,"ID115","Grymes Hill/Clifton","Staten Island",0
2015,7,"ID115","Grymes Hill/Clifton","Staten Island",0
2015,8,"ID115","Grymes Hill/Clifton","Staten Island",0
2015,9,"ID115","Grymes Hill/Clifton","Staten Island",0
2015,10,"ID115","Grymes Hill/Clifton","Staten Island",1
2015,11,"ID115","Grymes Hill/Clifton","Staten Island",1
2015,12,"ID115","Grymes Hill/Clifton","Staten Island",1
2016,1,"ID115","Grymes Hill/Clifton","Staten Island",1
2016,2,"ID115","Grymes Hill/Clifton","Staten Island",1
2016,3,"ID115","Grymes Hill/Clifton","Staten Island",1
2016,4,"ID115","Grymes Hill/Clifton","Staten Island",1
2016,5,"ID115","Grymes Hill/Clifton","Staten Island",1
2016,6,"ID115","Grymes Hill/Clifton","Staten Island",1
2016,7,"ID115","Grymes Hill/Clifton","Staten Island",1
2016,8,"ID115","Grymes Hill/Clifton","Staten Island",1
2016,9,"ID115","Grymes Hill/Clifton","Staten Island",2
2016,10,"ID115","Grymes Hill/Clifton","Staten Island",2
2016,11,"ID115","Grymes Hill/Clifton","Staten Island",2
2016,12,"ID115","Grymes Hill/Clifton","Staten Island",2
2017,1,"ID115","Grymes Hill/Clifton","Staten Island",2
2017,2,"ID115","Grymes Hill/Clifton","Staten Island",3
2017,3,"ID115","Grymes Hill/Clifton","Staten Island",3
2017,4,"ID115","Grymes Hill/Clifton","Staten Island",4
2017,5,"ID115","Grymes Hill/Clifton","Staten Island",4
2017,6,"ID115","Grymes Hill/Clifton","Staten Island",3
2015,1,"ID116","Hamilton Heights","Manhattan",4
2015,2,"ID116","Hamilton Heights","Manhattan",5
2015,3,"ID116","Hamilton Heights","Manhattan",5
2015,4,"ID116","Hamilton Heights","Manhattan",6
2015,5,"ID116","Hamilton Heights","Manhattan",8
2015,6,"ID116","Hamilton Heights","Manhattan",8
2015,7,"ID116","Hamilton Heights","Manhattan",9
2015,8,"ID116","Hamilton Heights","Manhattan",11
2015,9,"ID116","Hamilton Heights","Manhattan",12
2015,10,"ID116","Hamilton Heights","Manhattan",14
2015,11,"ID116","Hamilton Heights","Manhattan",14
2015,12,"ID116","Hamilton Heights","Manhattan",17
2016,1,"ID116","Hamilton Heights","Manhattan",16
2016,2,"ID116","Hamilton Heights","Manhattan",19
2016,3,"ID116","Hamilton Heights","Manhattan",20
2016,4,"ID116","Hamilton Heights","Manhattan",21
2016,5,"ID116","Hamilton Heights","Manhattan",25
2016,6,"ID116","Hamilton Heights","Manhattan",24
2016,7,"ID116","Hamilton Heights","Manhattan",26
2016,8,"ID116","Hamilton Heights","Manhattan",27
2016,9,"ID116","Hamilton Heights","Manhattan",28
2016,10,"ID116","Hamilton Heights","Manhattan",31
2016,11,"ID116","Hamilton Heights","Manhattan",31
2016,12,"ID116","Hamilton Heights","Manhattan",36
2017,1,"ID116","Hamilton Heights","Manhattan",37
2017,2,"ID116","Hamilton Heights","Manhattan",39
2017,3,"ID116","Hamilton Heights","Manhattan",44
2017,4,"ID116","Hamilton Heights","Manhattan",45
2017,5,"ID116","Hamilton Heights","Manhattan",49
2017,6,"ID116","Hamilton Heights","Manhattan",48
2015,1,"ID117","Hammels/Arverne","Queens",0
2015,2,"ID117","Hammels/Arverne","Queens",0
2015,3,"ID117","Hammels/Arverne","Queens",0
2015,4,"ID117","Hammels/Arverne","Queens",0
2015,5,"ID117","Hammels/Arverne","Queens",0
2015,6,"ID117","Hammels/Arverne","Queens",0
2015,7,"ID117","Hammels/Arverne","Queens",1
2015,8,"ID117","Hammels/Arverne","Queens",1
2015,9,"ID117","Hammels/Arverne","Queens",1
2015,10,"ID117","Hammels/Arverne","Queens",0
2015,11,"ID117","Hammels/Arverne","Queens",0
2015,12,"ID117","Hammels/Arverne","Queens",1
2016,1,"ID117","Hammels/Arverne","Queens",1
2016,2,"ID117","Hammels/Arverne","Queens",1
2016,3,"ID117","Hammels/Arverne","Queens",1
2016,4,"ID117","Hammels/Arverne","Queens",1
2016,5,"ID117","Hammels/Arverne","Queens",2
2016,6,"ID117","Hammels/Arverne","Queens",2
2016,7,"ID117","Hammels/Arverne","Queens",3
2016,8,"ID117","Hammels/Arverne","Queens",3
2016,9,"ID117","Hammels/Arverne","Queens",2
2016,10,"ID117","Hammels/Arverne","Queens",2
2016,11,"ID117","Hammels/Arverne","Queens",2
2016,12,"ID117","Hammels/Arverne","Queens",3
2017,1,"ID117","Hammels/Arverne","Queens",3
2017,2,"ID117","Hammels/Arverne","Queens",3
2017,3,"ID117","Hammels/Arverne","Queens",5
2017,4,"ID117","Hammels/Arverne","Queens",5
2017,5,"ID117","Hammels/Arverne","Queens",5
2017,6,"ID117","Hammels/Arverne","Queens",6
2015,1,"ID118","Heartland Village/Todt Hill","Staten Island",0
2015,2,"ID118","Heartland Village/Todt Hill","Staten Island",0
2015,3,"ID118","Heartland Village/Todt Hill","Staten Island",0
2015,4,"ID118","Heartland Village/Todt Hill","Staten Island",0
2015,5,"ID118","Heartland Village/Todt Hill","Staten Island",0
2015,6,"ID118","Heartland Village/Todt Hill","Staten Island",0
2015,7,"ID118","Heartland Village/Todt Hill","Staten Island",0
2015,8,"ID118","Heartland Village/Todt Hill","Staten Island",1
2015,9,"ID118","Heartland Village/Todt Hill","Staten Island",1
2015,10,"ID118","Heartland Village/Todt Hill","Staten Island",1
2015,11,"ID118","Heartland Village/Todt Hill","Staten Island",1
2015,12,"ID118","Heartland Village/Todt Hill","Staten Island",1
2016,1,"ID118","Heartland Village/Todt Hill","Staten Island",1
2016,2,"ID118","Heartland Village/Todt Hill","Staten Island",1
2016,3,"ID118","Heartland Village/Todt Hill","Staten Island",2
2016,4,"ID118","Heartland Village/Todt Hill","Staten Island",2
2016,5,"ID118","Heartland Village/Todt Hill","Staten Island",2
2016,6,"ID118","Heartland Village/Todt Hill","Staten Island",2
2016,7,"ID118","Heartland Village/Todt Hill","Staten Island",2
2016,8,"ID118","Heartland Village/Todt Hill","Staten Island",3
2016,9,"ID118","Heartland Village/Todt Hill","Staten Island",3
2016,10,"ID118","Heartland Village/Todt Hill","Staten Island",3
2016,11,"ID118","Heartland Village/Todt Hill","Staten Island",3
2016,12,"ID118","Heartland Village/Todt Hill","Staten Island",4
2017,1,"ID118","Heartland Village/Todt Hill","Staten Island",4
2017,2,"ID118","Heartland Village/Todt Hill","Staten Island",4
2017,3,"ID118","Heartland Village/Todt Hill","Staten Island",6
2017,4,"ID118","Heartland Village/Todt Hill","Staten Island",5
2017,5,"ID118","Heartland Village/Todt Hill","Staten Island",6
2017,6,"ID118","Heartland Village/Todt Hill","Staten Island",6
2015,1,"ID119","Highbridge","Bronx",1
2015,2,"ID119","Highbridge","Bronx",1
2015,3,"ID119","Highbridge","Bronx",1
2015,4,"ID119","Highbridge","Bronx",1
2015,5,"ID119","Highbridge","Bronx",2
2015,6,"ID119","Highbridge","Bronx",2
2015,7,"ID119","Highbridge","Bronx",2
2015,8,"ID119","Highbridge","Bronx",3
2015,9,"ID119","Highbridge","Bronx",3
2015,10,"ID119","Highbridge","Bronx",2
2015,11,"ID119","Highbridge","Bronx",3
2015,12,"ID119","Highbridge","Bronx",4
2016,1,"ID119","Highbridge","Bronx",3
2016,2,"ID119","Highbridge","Bronx",4
2016,3,"ID119","Highbridge","Bronx",5
2016,4,"ID119","Highbridge","Bronx",6
2016,5,"ID119","Highbridge","Bronx",7
2016,6,"ID119","Highbridge","Bronx",8
2016,7,"ID119","Highbridge","Bronx",9
2016,8,"ID119","Highbridge","Bronx",9
2016,9,"ID119","Highbridge","Bronx",9
2016,10,"ID119","Highbridge","Bronx",9
2016,11,"ID119","Highbridge","Bronx",10
2016,12,"ID119","Highbridge","Bronx",12
2017,1,"ID119","Highbridge","Bronx",13
2017,2,"ID119","Highbridge","Bronx",14
